LISTEN 0      4096          0.0.0.0:5432       0.0.0.0:*    users:(("docker-proxy",pid=441498,fd=7))    
LISTEN 0      4096          0.0.0.0:8000       0.0.0.0:*    users:(("docker-proxy",pid=1974,fd=7))      
LISTEN 0      4096          0.0.0.0:8091       0.0.0.0:*    users:(("docker-proxy",pid=442530,fd=7))    
LISTEN 0      4096          0.0.0.0:8095       0.0.0.0:*    users:(("docker-proxy",pid=122647,fd=7))    
LISTEN 0      2048          0.0.0.0:9100       0.0.0.0:*    users:(("python3",pid=331302,fd=6))         
LISTEN 0      4096             [::]:5432          [::]:*    users:(("docker-proxy",pid=441505,fd=7))    
LISTEN 0      4096             [::]:8000          [::]:*    users:(("docker-proxy",pid=1981,fd=7))      
LISTEN 0      4096             [::]:8091          [::]:*    users:(("docker-proxy",pid=442537,fd=7))    
LISTEN 0      4096             [::]:8095          [::]:*    users:(("docker-proxy",pid=122654,fd=7))    
LISTEN 0      511                 *:3003             *:*    users:(("next-server (v1",pid=543781,fd=19))
